Id,Sic,SicDivId,DigitalSicCode
464,"Creative, arts and entertainment activities",79,900
465,"Libraries, archives, museums and other cultural activities",80,910
466,Gambling and betting activities,81,920
467,Sports activities,82,931
468,Other amusement and recreation activities,82,932
469,"Activities of business, employers and professional membership organizations",83,941
470,Activities of trade unions,83,942
471,Activities of other membership organizations,83,949
472,Repair of computers and communication equipment,84,951
473,Repair of personal household goods,84,952
474,Other personal activities,85,960
475,Activities of households as employers of domestic personnel,86,970
476," Undifferentiated goods-producing activities of private households for own use",87,981
477," Undifferentiated service-producing activities of private households for own use",87,982
478,"Activities  of  extraterritorial  organizations  and  bodies,  not  economically active, people, unemployed people etc",88,990
