id,group_id,class_id,sub_class_id,description,keywords
35,23,230,02300,Gathering of wild growing non-wood products,"b'Acorn gathering, Moss collecting, cutting or gathering, Mushroom (wild) gathering, Non-wood products, gathering from the wild , Nuts, gathering from the wild , Reed collecting, cutting and gathering, Resin gathering, Teasel growing, Truffles, gathering from the wild , Lichen gathering, Lac gathering, Balata gathering, Balsam gathering, Berries, gathering from the wild , Cork, gathering from the wild , Eel grass gathering, Fern collecting, cutting, gathering, Growing materials, gathering from the wild , Horse-chestnut gathering, Vegetable hair gathering'"
36,24,240,02400,Support services to forestry,"b'Forest management consulting services, Forest pest control, Forestry fire protection, Forestry inventories, Forestry service activities, Forestry support services, Log transport within the forest, Logging service activities, Timber evaluation'"
37,31,311,03110,Marine fishing,"b'Algae gathering, Pearl gathering, Periwinkle gathering, Salmon netting, Sea urchin hunting, Sea-squirt hunting, Seaweed collecting, cutting and gathering (uncultivated), Shrimping, Sponge gathering, Tunicate hunting, Turtle hunting, Whaling, Natural pearls gathering of , Mussel gathering, Cockle gathering, Coral gathering, Fishing by line, except for recreation or sport, Fishing for shellfish, Fishing in ocean, sea, coastal or inland waters, Fishing on a commercial basis in ocean and coastal waters, Fishing service activities, Kelp collecting, cutting and gathering (uncultivated), Marine crustacean and mollusc gathering, Marine fishing, Marine fishing vessels engaged in processing and preserving of fish, Winkle gathering'"
38,31,312,03120,Freshwater fishing,"b'Fishing on a commercial basis in inland waters, Freshwater aquatic animal taking, Freshwater crustacean and mollusc taking, Freshwater fishing, Freshwater materials gathering, Freshwater crustaceans and molluscs gathering'"
39,32,321,03210,Marine aquaculture,"b'Aquaculture in salt water filled tanks or reservoirs, Laver growing, Lobsterling production, marine, Marine aquaculture, Molluscs and other aquatic animals cultured in sea water, Mussel production, marine, Ornamental fish farming, marine, Oyster cultivation, marine, Oyster fishery, marine, Oyster spat production, marine, Salmon and trout fishery (hatchery); marine, Shrimp production (post-larvae); marine, Laver gathering (cultivated), Fish hatcheries, marine, Aquaculture in sea or brackish waters, Bait digging, Bait production, Bivalves cultured in sea water, Crustaceans cultured in sea water, Edible seaweed growing, Fingerling production, marine, Fish breeding, marine, Fish farming, marine, Fish fry production, marine, Fish hatcheries and farms service activities, marine, Worm farms, marine'"
40,32,322,03220,Freshwater aquaculture,"b'Aquaculture, freshwater , Salmon and trout fishery (hatchery); freshwater, Oyster spat production, freshwater, Oyster fishery, freshwater, Oyster cultivation, freshwater, Ornamental fish farming, freshwater, Mussel production, freshwater, Lobsterling production, freshwater, Frog farming, Freshwater crustaceans, bivalves, other molluscs and other aquatic animals, culture of, Fish hatcheries, freshwater, Fish hatcheries and farms service activities, freshwater, Fish fry production, freshwater, Fish farming in fresh water, including farming of freshwater ornamental fish, Fish breeding, freshwater, Fingerling production, freshwater, Shrimp production (post-larvae); freshwater'"
41,51,510,05101,Mining of hard coal from deep coal mines (underground mining),"b'Coal cleaning, sizing, grading and pulverising (hard, deep mined), Coal mine (deep or drift), Coal preparation (deep mined), Coal washing (deep mined), Deep coal mines, Hard coal mining (underground)'"
42,51,510,05102,Mining of hard coal from open cast coal working (surface mining),"b'Coal cleaning, sizing, grading and pulverising (hard, opencast), Opencast coal working, Opencast coal site, Opencast coal disposal point, Hard coal recovery from tips, Coal washing (opencast), Coal site (opencast), Coal recovery of from culm banks, Coal recovery from dumps, tips etc., Coal preparation (opencast), Coal contractor (opencast), Surface mining of hard coal'"
43,52,520,05200,Mining of lignite,"b'Lignite (brown coal) mining including mining through liquefaction methods, Lignite mining, Lignite washing, dehydrating, pulverising etc. To improve quality or facilitate transport or storage'"
44,61,610,06100,Extraction of crude petroleum,"b'Bituminous or oil shale and sand extraction, Oil shale retorting, Oil shale mine, Oil production well or platform operating, Oil platform operation, Mineral oil extraction, Crude petroleum production from bituminous shale and sand, Crude petroleum production, Crude petroleum extraction, Crude oils obtained by stabilisation processes , Crude oils obtained by desalting processes, Crude oils obtained by dehydration processes, Crude oils obtained by decantation processes , Crude oil extraction, Oil stabilisation plant operation'"
45,62,620,06200,Extraction of natural gas,"b'Butane extraction from natural gas, Natural gas production well, Natural gas condensates separation, Methane extraction from natural gas, Liquid hydrocarbon fractions draining and separation, Hydrocarbon liquids mining, by liquefaction or pyrolysis, Gas extraction (natural gas), Gas desulphurisation, Ethane extraction from natural gas, Crude gaseous hydrocarbon production (natural gas), Condensate extraction, Propane extraction from natural gas'"
46,71,710,07100,Mining of iron ores,"b'Haematite quarry, Iron ore beneficiation and agglomeration, Iron ore calcining, Iron ore crushing, Iron ore mine or quarry, Iron ore preparation, Iron ore sintering, Iron ore washing'"
47,72,721,07210,Mining of uranium and thorium ores,"b'Thorium ores mining, Uranium and thorium ore concentration, Uranium ore mining, Yellowcake production'"
48,72,729,07290,Mining of other non-ferrous metal ores,"b'Aluminium ore (bauxite) mining or preparation, Non-ferrous metal ores mining and preparation, Platinum mining and preparation, Precious metal ores mining and preparation, Silver mining and preparation, Silver ore and concentrate extraction and preparation, Tantalum mining and preparation, Tin mining and preparation, Tin ore and concentrate extraction and preparation, Vanadium mining and preparation, Non-ferrous metal ore quarrying, Nickel mining and preparation, Molybdenum mining and preparation, Chrome ore mining and preparation, Cobalt mining and preparation, Copper mining and preparation, Copper ore and concentrate extraction and preparation, Gold mining and preparation, Lead mining and preparation, Lead ore and concentrate extraction and preparation, Manganese mining and preparation, Mining of non-ferrous metal ore, Zinc mining and preparation'"
49,89,891,08910,Mining of chemical and fertiliser minerals,"b'Alum mine, Iron pyrites extraction (not for iron production), Jet mine, Magnesium sulphates (natural kieserite) mining, Native sulphur mining, Ochre pit, Phosphates (natural) mining, Potash mine, Potassium salts (natural) mining, Guano mining, Fluorspar mining, Fertiliser minerals mining, Barium sulphate (natural) mining, Barytes mine, Borates (natural) mining, Carbonate (barytes and witherite) mining, Celestine pit, Chalk (ground) production, Chemical minerals mining, Earth colours and fluorspar mining, Pyrites and pyrrhotite extraction and preparation'"
50,89,892,08920,Extraction of peat,"b'Peat agglomeration, Peat cutting and digging, Peat extraction , Peat, preparation to facilitate transport or storage, Peat, preparation to improve quality'"
51,89,893,08930,Extraction of salt,"b'Brine pit, Sea salt production, Salt, extraction of, from underground including by dissolving and pumping, Salt works, Salt production by evaporation of sea water or other saline waters, Salt production, Salt preparation (not at salt mine or brine pit), Salt mine, Salt extraction , Salt crushing, purification and refining by the producer, Rock salt production, Brine production, White salt production'"
52,89,899,08990,Other mining and quarrying n.e.c.,"b'Abrasive materials mining and quarrying, Mica mining and quarrying, Pumice extraction, Quartz mining and quarrying, Rubbing stone mine, pit or quarry, Semi-precious stones extraction, Silica stone extraction or quarrying, Siliceous fossil meals mining, Steatite (talc) mining and quarrying, Talc mine or quarry, Graphite (natural) mining, Gem stones mining and quarrying, Ganister extraction, Asbestos mining and quarrying, Asphalt (natural) mining and quarrying, Asphaltites and asphaltic rock mining and quarrying, Bitumen mining and quarrying, Chert quarry, Diatomite bed, Emery extraction, Feldspar mining and quarrying, French chalk production, Witherite mine'"
53,91,910,09100,Support activities for petroleum and natural gas extraction,"b'Well-perforating services, Petroleum test well drilling, Petroleum and natural gas mining support activities , Oil extraction service activities, Oil and gas well sleeving repair services, Oil and gas well pipe refurbishment services, Oil and gas well cutting, casing and abandonment services, Oil and gas well conductor driving services, Oil and gas well coiled-tubing wellwork, Petroleum well drilling, Plugging and abandoning oil and gas wells , Pumping of oil and gas wells, Well logging, Turbine drilling services, Test boring incidental to oil and gas extraction, Spudding in for oil wells, Separation terminal operation (natural gas) , Sealing of oil and gas wells, Repair and dismantling services of derricks, Redrilling oil and gas wells, Oil and gas well cementing services, Oil and gas well casing, cementing, tubing and lining services, Oil and gas field fire fighting services, Floating drilling rig operation for petroleum or natural gas exploration or production, Drilling services to oil and gas extraction wells, Drilling contractor for offshore oil or gas well, Draining and pumping services incidental to oil and gas extraction, on a fee or contract basis, Downhole-milling services, Downhole-fishing services, Diving services incidental to oil and gas exploration, Directional drilling services, Fluid-displacement services, Fracture/stimulation services, Gas extraction service activities, Oil and gas extraction service activities provided on a fee or contract basis, Oil and gas exploration in connection with oil and gas extraction, including traditional prospecting, Mud logging services, Liquefaction and regasification of natural gas for transport, Hyperbaric welding services, Hot-tap operation services, Horizontal drilling services, Gravel packing services, Derrick erection in situ, repairing and dismantling'"
54,99,990,09900,Support activities for other mining and quarrying,"b'Chemicals and fertiliser minerals mining support services provided on a fee or contract basis, Slate quarrying support services provided on a fee or contract basis, Salt production support services provided on a fee or contract basis, Peat extraction support services, provided on a fee or contract basis, Ornamental and building stone quarrying support services provided on a fee or contract basis, Non-ferrous metal ore mining of class 07290, support services provided on a fee or contract basis, Mining and quarrying of residual class 08990, support services provided on a fee or contract basis, Limestone, gypsum and chalk quarrying support services provided on a fee or contract basis, Lignite mining support services provided on a fee or contract basis, Iron ore mining support services provided on a fee or contract basis, Hard coal mining (underground) support services, provided on a fee or contract basis, Hard coal mining (opencast) support services, provided on a fee or contract basis, Gravel and sand pit support services provided on a fee or contract basis, Clay and kaolin mining support services provided on a fee or contract basis, Uranium and thorium ore mining support services provided on a fee or contract basis'"
55,102,1020,10200,"Processing and preserving of fish, crustaceans and molluscs","b'Caviar (manufacture), Fish salting (manufacture), Fish, crustacean and mollusc cooking (manufacture), Fish, crustacean and mollusc preparation and preservation, by immersing in brine (manufacture), Fish, crustacean and mollusc smoking (manufacture), Inedible flours, meal and pellets of fish, crustaceans and molluscs production (manufacture), Kipper (manufacture), Mollusc preservation (other than by freezing) (manufacture), Mollusc preservation by freezing (manufacture), Potted shrimp (manufacture), Roe production (manufacture), Seaweed processing (manufacture), Shellfish freezing (manufacture), Shellfish preserving (not freezing) (manufacture), Shrimp preserving (not freezing) (manufacture), Smoked salmon, trout and herring production (manufacture), Vessels only engaged in processing and preserving fish (other than by freezing) (manufacture), Fish products (manufacture), Fish processing (not freezing) (manufacture), Fish preservation by freezing (manufacture), Caviar substitute (manufacture), Crustacean and mollusc canning (manufacture), Crustacean and mollusc preservation by drying (manufacture), Crustacean and mollusc products (manufacture), Crustacean and mollusc salting (manufacture), Crustacean freezing (manufacture), Crustacean preservation (other than by freezing) (manufacture), Fish and other aquatic animal meals and solubles unfit for human consumption (manufacture), Fish cakes (manufacture), Fish canning (manufacture), Fish curing (other than by distributors) (manufacture), Fish drying (manufacture), Fish fillet production (manufacture), Fish meal (manufacture), Fish paste (manufacture), Fish preservation (other than by freezing) (manufacture), Vessels only engaged in processing and preserving fish by freezing (manufacture)'"
56,106,1061,10611,Grain milling,"b'Barley meal production (manufacture), Maize flour and meal production (manufacture), Meal from grain (manufacture), Oat flour and meal (manufacture), Oat grinding, rolling, crushing or flaking (manufacture), Oats (manufacture), Pudding mixture (manufacture), Rye (manufacture), Rye flaking (manufacture), Rye flour and meal (manufacture), Rye milling (manufacture), Rye rolling (manufacture), Self-raising and patent flour (manufacture), Semolina milling (manufacture), Wheat flake (manufacture), Wheat milling (manufacture), Wheat offal (manufacture), Maize (flaked) production (manufacture), Groats production (manufacture), Grist milling (manufacture), Barley milling (manufacture), Barley processing (blocked, flaked, puffed or pearled) (manufacture), Bran (manufacture), Cake mixture (manufacture), Cereal grains, flour, groats, meal or pellets (manufacture), Corn or other cereal grains (manufacture), Cornflour (manufacture), Flaked maize (manufacture), Flour (manufacture), Flour milling (manufacture), Flour mixes and prepared blended flour and dough for biscuits (manufacture), Flour mixes and prepared blended flour and dough for bread (manufacture), Flour mixes and prepared blended flour and dough for cakes (manufacture), Flour mixes and prepared blended flour and dough for pancakes (manufacture), Flour of cereal grains production (manufacture), Grain milling (manufacture), Wheat pellets (manufacture)'"
57,106,1061,10612,Manufacture of breakfast cereals and cereals-based foods,"b'Almond grinding (manufacture), Polished rice (manufacture), Puffed rice (manufacture), Puffed wheat (manufacture), Rice cleaning (manufacture), Rice flaking (manufacture), Rice flour production (manufacture), Rice husking (manufacture), Rice milling (manufacture), Rice rolling (manufacture), Sago grinding or milling (manufacture), Soya bean grinding (manufacture), Soya bean milling (manufacture), Soya flour and meal (manufacture), Pea splitting, milling or grinding (manufacture), Parboiled or converted rice (manufacture), Meal of dried leguminous vegetables production (manufacture), Bean grinding (manufacture), Bean milling (manufacture), Bean splitting (manufacture), Breakfast cereal (cooked) (manufacture), Breakfast cereal (uncooked) (manufacture), Cereal breakfast foods (manufacture), Chicory root drying (manufacture), Cornflake (manufacture), Edible nut flour or meal production (manufacture), Flour of dried leguminous vegetables production (manufacture), Flour or meal of roots or tubers (manufacture), Glazed rice (manufacture), Lentil splitting, grinding or milling (manufacture), Vegetable milling (manufacture)'"
58,106,1062,10620,Manufacture of starches and starch products,"b'Arrowroot (manufacture), Potato starch (manufacture), Rice starch (manufacture), Soluble starch (manufacture), Starch (manufacture), Tapioca (manufacture), Tapioca grinding (manufacture), Warp starch (manufacture), Wet corn milling (manufacture), Maltose (manufacture), Maize starch (manufacture), Corn oil (manufacture), Dextrin (manufacture), Dextrose (manufacture), Glucose (manufacture), Glucose syrup (manufacture), Gluten (manufacture), Inulin (manufacture), Laundry starch (manufacture), Wheat starch (manufacture)'"
59,107,1071,10710,Manufacture of bread; manufacture of fresh pastry goods and cakes,"b'Bakery (baking main activity) (manufacture), Tarts (manufacture), Fruit pie making (manufacture), Fruit loaf baking (manufacture), Fruit cake baking (manufacture), Fresh pastry (manufacture), Flour confectionery (manufacture), Fancy pastry (manufacture), Crumpet making (manufacture), Cakes (manufacture), Bread rolls (manufacture), Bread baking including rolls (manufacture), Bread and flour confectionery baking (manufacture), Waffles (manufacture)'"
60,107,1072,10720,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,"b'Biscuits (manufacture), Pretzels whether sweet or salted (manufacture), Rusk making (manufacture), Salted crackers (manufacture), Sandwich cake baking (manufacture), Sausage filler made of cereal (manufacture), Scone baking (manufacture), Snack products of puffed or extruded farinaceous or proteinaceous materials (manufacture), Snack products whether sweet or salted (manufacture), Sweet crackers (manufacture), Preserved pastry goods and cakes (manufacture), Pikelet making (manufacture), Pies (other than meat) (manufacture), Cakes (preserved) (manufacture), Cereal for sausage filler (manufacture), Cookies (manufacture), Crispbread (manufacture), Dry bakery products (manufacture), Matzos (manufacture), Oat cake (manufacture), Pancake making (manufacture), Pastry and buns (preserved) (manufacture), Wafer biscuits (manufacture)'"
61,107,1073,10730,"Manufacture of macaroni, noodles, couscous and similar farinaceous products","b'Couscous (manufacture), Spaghetti canning (manufacture), Spaghetti (manufacture), Ravioli (manufacture), Pastas (manufacture), Pasta products, canned or frozen (manufacture), Noodle (manufacture), Macaroni (manufacture), Farinaceous products (manufacture), Vermicelli (manufacture)'"
62,110,1101,11010,"Distilling, rectifying and blending of spirits","b'Alcoholic distilled potable beverage (manufacture), Whisky blending (manufacture), Whisky (manufacture), Vodka distilling (manufacture), Undenatured ethyl alcohol (manufacture), Spirit distilling and compounding (manufacture), Rum distilling (manufacture), Rectified spirits (manufacture), Liqueurs (manufacture), Gin (manufacture), Drinks mixed with distilled alcoholic beverages (manufacture), Cherry brandy (manufacture), Brandy (manufacture), Blending of distilled spirits by wholesalers (manufacture), Blending of distilled spirits (manufacture), Blending and bottling of whisky (manufacture), Aperitif (spirit based) (manufacture), Whisky distilling (manufacture)'"
63,110,1102,11020,Manufacture of wine from grape,"b'Buying wine in bulk with blending, purification and bottling of wine (manufacture), Wine production from fresh grapes and grape juice (manufacture), Wine based on concentrated grape must (manufacture), Wine (purchased in bulk) blending, purification and bottling (manufacture), Wine (of own manufacture) blending, purification and bottling (manufacture), Tonic wine production (manufacture), Sparkling wine (manufacture), Low and non-alcoholic wine from fresh grapes and grape juice (manufacture), Low and non-alcoholic wine based on concentrated grape must (manufacture), Wine production from self produced grapes'"
64,110,1103,11030,Manufacture of cider and other fruit wines,"b'Apple wine making, Beverages made of fermented fruit n.e.c. (manufacture), Cider (alcoholic) (manufacture), Cider perry (manufacture), Fruit wines other than cider and perry (manufacture), Mead (manufacture), Mixed beverages containing fruit wines (manufacture), Perry (manufacture), Sake (manufacture)'"
65,110,1104,11040,Manufacture of other non-distilled fermented beverages,"b'Beverages (non-distilled, fermented) (manufacture), Vermouth (manufacture)'"
66,120,1200,12000,Manufacture of tobacco products,"b'Cheroot (manufacture), Tobacco substitute products (manufacture), Tobacco stemming and redrying (manufacture), Tobacco products (manufacture), Tobacco for use in pipes and rolled cigarettes (manufacture), Snuff (manufacture), Pipe tobacco (manufacture), Fine cut tobacco (manufacture), Cigarillo (manufacture), Cigarette (manufacture), Cigar (manufacture), Chewing tobacco (manufacture), Tobacco, homogenised or reconstituted (manufacture)'"
